,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RF,0.45943396226415095,0.4990566037735849,0.5377358490566038,0.6641509433962264,0.6018867924528302,0.6226415094339622,0.6358490566037736,0.6867924528301886,0.6339622641509434,0.6415094339622641,0.6528301886792452,0.6226415094339622,0.6339622641509434,0.6566037735849056,0.6641509433962264
LR,0.4259259259259259,0.4444444444444444,0.5283018867924528,0.4528301886792453,0.4150943396226415,0.4528301886792453,0.490566037735849,0.4339622641509434,0.5094339622641509,0.4339622641509434,0.37735849056603776,0.37735849056603776,0.5471698113207547,0.5283018867924528,0.490566037735849
SVM,0.4444444444444444,0.4444444444444444,0.5094339622641509,0.5471698113207547,0.5283018867924528,0.5283018867924528,0.4339622641509434,0.490566037735849,0.4528301886792453,0.4528301886792453,0.4339622641509434,0.5283018867924528,0.4716981132075472,0.4528301886792453,0.5283018867924528
XGB,0.4150943396226415,0.4169811320754717,0.5698113207547171,0.5320754716981132,0.4433962264150944,0.4603773584905661,0.5150943396226415,0.7283018867924528,0.7981132075471699,0.6169811320754717,0.7849056603773585,0.6886792452830188,0.8132075471698114,0.7339622641509433,0.5660377358490566
KNN,0.4444444444444444,0.46296296296296297,0.4339622641509434,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453
baseline,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509
