,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RF,0.4858490566037736,0.5037735849056604,0.5490566037735849,0.6584905660377358,0.6075471698113207,0.6056603773584905,0.6377358490566037,0.6698113207547169,0.6547169811320754,0.6339622641509434,0.6547169811320754,0.6339622641509434,0.6377358490566037,0.6547169811320754,0.6490566037735849
LR,0.42592592592592593,0.4444444444444444,0.5283018867924528,0.4528301886792453,0.41509433962264153,0.4528301886792453,0.49056603773584906,0.4339622641509434,0.5094339622641509,0.4339622641509434,0.37735849056603776,0.37735849056603776,0.5471698113207547,0.5283018867924528,0.49056603773584906
SVM,0.4444444444444444,0.4444444444444444,0.5094339622641509,0.5471698113207547,0.5283018867924528,0.5283018867924528,0.4339622641509434,0.49056603773584906,0.4528301886792453,0.4528301886792453,0.4339622641509434,0.5283018867924528,0.4716981132075472,0.4528301886792453,0.5283018867924528
XGB,0.4320754716981132,0.4216981132075472,0.5566037735849056,0.5283018867924528,0.42830188679245285,0.44528301886792454,0.5132075471698113,0.7320754716981132,0.8056603773584906,0.6283018867924528,0.7811320754716982,0.6943396226415094,0.8113207547169812,0.7320754716981132,0.5660377358490566
KNN,0.4444444444444444,0.46296296296296297,0.4339622641509434,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453
baseline,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509
