,window,OVERALL,LOW,HIGH
RF,4.0,0.6698113207547169,0.6730769230769231,0.6666666666666666
LR,5.0,0.7547169811320755,0.6923076923076923,0.8148148148148148
SVM,5.0,0.7735849056603774,0.7307692307692307,0.8148148148148148
GB,11.0,0.820754716981132,0.7423076923076923,0.8962962962962964
XGB,9.0,0.6981132075471698,0.6153846153846153,0.7777777777777778
KNN,7.0,0.6792452830188679,0.6153846153846154,0.7407407407407407
