,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RF,0.47924528301886793,0.5141509433962265,0.5339622641509434,0.6811320754716981,0.6396226415094339,0.6264150943396226,0.6358490566037736,0.6716981132075471,0.6547169811320754,0.6339622641509434,0.6433962264150943,0.6094339622641509,0.6226415094339622,0.6132075471698113,0.6547169811320754
LR,0.48148148148148145,0.5555555555555556,0.5660377358490566,0.6981132075471698,0.7547169811320755,0.6792452830188679,0.5849056603773585,0.6415094339622641,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5660377358490566,0.6226415094339622,0.6415094339622641,0.6415094339622641
SVM,0.5,0.6481481481481481,0.5283018867924528,0.6792452830188679,0.7735849056603774,0.6981132075471698,0.6037735849056604,0.6792452830188679,0.5094339622641509,0.5849056603773585,0.5471698113207547,0.49056603773584906,0.5660377358490566,0.660377358490566,0.6226415094339622
GB,0.4830188679245283,0.5103773584905661,0.5716981132075472,0.6735849056603773,0.45849056603773586,0.4509433962264151,0.5962264150943396,0.6754716981132075,0.7320754716981132,0.7433962264150943,0.8169811320754717,0.7490566037735849,0.7716981132075472,0.7075471698113207,0.7094339622641509
XGB,0.4981132075471698,0.5386792452830189,0.49056603773584906,0.660377358490566,0.5660377358490566,0.5849056603773585,0.660377358490566,0.660377358490566,0.6981132075471698,0.6415094339622641,0.6415094339622641,0.5471698113207547,0.6226415094339622,0.660377358490566,0.6415094339622641
KNN,0.46296296296296297,0.5,0.5094339622641509,0.6415094339622641,0.6037735849056604,0.6415094339622641,0.6792452830188679,0.5471698113207547,0.5283018867924528,0.5283018867924528,0.6037735849056604,0.5471698113207547,0.5094339622641509,0.5283018867924528,0.5094339622641509
baseline,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509
