,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RF,0.5094339622641509,0.5358490566037736,0.5415094339622641,0.6792452830188679,0.6339622641509434,0.6264150943396226,0.6415094339622641,0.6660377358490566,0.6509433962264151,0.6339622641509434,0.6566037735849056,0.6339622641509434,0.6283018867924528,0.6226415094339622,0.6490566037735849
LR,0.48148148148148145,0.5555555555555556,0.5660377358490566,0.6981132075471698,0.7547169811320755,0.6792452830188679,0.5849056603773585,0.6415094339622641,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5660377358490566,0.6226415094339622,0.6415094339622641,0.6415094339622641
SVM,0.5,0.6481481481481481,0.5283018867924528,0.6792452830188679,0.7735849056603774,0.6981132075471698,0.6037735849056604,0.6792452830188679,0.5094339622641509,0.5849056603773585,0.5471698113207547,0.49056603773584906,0.5660377358490566,0.660377358490566,0.6226415094339622
XGB,0.46226415094339623,0.4839622641509434,0.5735849056603773,0.6698113207547169,0.45660377358490567,0.44528301886792454,0.590566037735849,0.6773584905660377,0.7358490566037735,0.7528301886792453,0.809433962264151,0.7490566037735849,0.769811320754717,0.7056603773584905,0.7075471698113207
KNN,0.46296296296296297,0.5,0.5094339622641509,0.6415094339622641,0.6037735849056604,0.6415094339622641,0.6792452830188679,0.5471698113207547,0.5283018867924528,0.5283018867924528,0.6037735849056604,0.5471698113207547,0.5094339622641509,0.5283018867924528,0.5094339622641509
baseline,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509
