,window,default,tuned
RF,4.0,0.6811320754716981,0.6792452830188679
LR,5.0,0.7547169811320755,0.7547169811320755
SVM,5.0,0.7735849056603774,0.7735849056603774
GB,11.0,0.8169811320754717,0.6792452830188679
XGB,9.0,0.6981132075471698,0.7358490566037735
KNN,7.0,0.6792452830188679,0.6226415094339622
