,window,default,tuned
RF,8.0,0.6471698113207547,0.6037735849056604
LR,6.0,0.5471698113207547,0.4528301886792453
SVM,7.0,0.5849056603773585,0.5660377358490566
GB,2.0,0.660377358490566,0.6111111111111112
XGB,2.0,0.7037735849056603,0.7037037037037037
KNN,3.0,0.5849056603773585,0.5283018867924528
