,window,OVERALL,LOW,HIGH
RF,8.0,0.6094339622641509,0.6153846153846153,0.6037037037037037
LR,6.0,0.5471698113207547,0.5769230769230769,0.5185185185185185
SVM,7.0,0.5849056603773585,0.5769230769230769,0.5925925925925926
GB,2.0,0.6722222222222223,0.6884615384615385,0.6571428571428573
XGB,2.0,0.7037037037037038,0.7307692307692307,0.6785714285714286
KNN,3.0,0.5849056603773585,0.4230769230769231,0.7407407407407407
