,0,1,2,3,4,5,6,7,8,9
Tuned,0.64,0.6,0.6,0.64,0.68,0.64,0.64,0.64,0.64,0.64
Default,0.6,0.6,0.68,0.68,0.6,0.64,0.56,0.56,0.64,0.56
