,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RF,0.4811320754716981,0.5707547169811321,0.6641509433962264,0.6037735849056604,0.6037735849056604,0.5924528301886792,0.5471698113207547,0.5830188679245283,0.5867924528301887,0.5471698113207547,0.5433962264150943,0.5056603773584906,0.5490566037735849,0.5169811320754717,0.5283018867924528
LR,0.5185185185185185,0.5185185185185185,0.5283018867924528,0.4528301886792453,0.4339622641509434,0.3584905660377358,0.39622641509433965,0.33962264150943394,0.3018867924528302,0.3018867924528302,0.37735849056603776,0.33962264150943394,0.4339622641509434,0.4528301886792453,0.39622641509433965
SVM,0.5925925925925926,0.46296296296296297,0.49056603773584906,0.5094339622641509,0.5094339622641509,0.4716981132075472,0.4339622641509434,0.4339622641509434,0.4716981132075472,0.4339622641509434,0.4716981132075472,0.5094339622641509,0.4716981132075472,0.5283018867924528,0.4716981132075472
GB,0.49528301886792453,0.5792452830188679,0.6886792452830188,0.5660377358490566,0.5358490566037736,0.5320754716981132,0.5452830188679245,0.5415094339622641,0.5377358490566038,0.4528301886792453,0.6811320754716981,0.5245283018867924,0.4830188679245283,0.720754716981132,0.6867924528301886
XGB,0.5764150943396227,0.4962264150943396,0.6037735849056604,0.5283018867924528,0.5849056603773585,0.6792452830188679,0.49056603773584906,0.5471698113207547,0.5094339622641509,0.5471698113207547,0.4716981132075472,0.5471698113207547,0.5094339622641509,0.4528301886792453,0.5094339622641509
KNN,0.25925925925925924,0.25925925925925924,0.24528301886792453,0.22641509433962265,0.22641509433962265,0.24528301886792453,0.24528301886792453,0.24528301886792453,0.22641509433962265,0.22641509433962265,0.22641509433962265,0.22641509433962265,0.22641509433962265,0.22641509433962265,0.22641509433962265
baseline,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528
