,window,OVERALL,LOW,HIGH
RF,3.0,0.6641509433962265,0.7214285714285715,0.6
LR,2.0,0.6666666666666666,0.7241379310344828,0.6
SVM,4.0,0.6792452830188679,0.7142857142857143,0.64
GB,7.0,0.6301886792452829,0.6535714285714286,0.604
XGB,6.0,0.6603773584905659,0.7857142857142857,0.5199999999999999
KNN,2.0,0.6666666666666666,0.7241379310344828,0.6
