,window,default,tuned
RF,3.0,0.6886792452830188,0.7547169811320755
LR,2.0,0.6666666666666666,0.6666666666666666
SVM,4.0,0.6792452830188679,0.5094339622641509
GB,7.0,0.6490566037735849,0.5660377358490566
XGB,6.0,0.660377358490566,0.6792452830188679
KNN,2.0,0.6666666666666666,0.6666666666666666
